iter	Passed	Remaining
629	4936	2899
630	4944	2891
631	4949	2882
632	4961	2876
633	4965	2866
634	4968	2855
635	4971	2845
636	4975	2835
637	4978	2824
638	4981	2814
639	4983	2803
640	4988	2793
641	4992	2783
642	4995	2773
643	5025	2778
644	5027	2767
645	5030	2756
646	5032	2745
647	5035	2735
648	5038	2724
649	5059	2724
650	5063	2714
651	5066	2704
652	5070	2694
653	5073	2684
654	5076	2673
655	5078	2663
656	5081	2652
657	5109	2655
658	5113	2646
659	5118	2636
660	5122	2627
661	5124	2616
662	5127	2606
663	5130	2596
664	5140	2589
665	5159	2587
666	5165	2578
667	5175	2572
668	5195	2570
669	5214	2568
670	5218	2558
671	5225	2550
672	5229	2540
673	5232	2530
674	5235	2520
675	5257	2519
676	5259	2509
677	5263	2499
678	5267	2490
679	5271	2480
680	5274	2470
681	5276	2460
682	5279	2450
683	5282	2440
684	5284	2430
685	5287	2420
686	5292	2411
687	5296	2401
688	5300	2392
689	5302	2382
690	5305	2372
691	5310	2363
692	5314	2354
693	5317	2344
694	5319	2334
695	5321	2324
696	5324	2314
697	5328	2305
698	5332	2296
699	5334	2286
700	5339	2277
701	5346	2269
702	5351	2260
703	5355	2251
704	5389	2254
705	5392	2245
706	5414	2243
707	5418	2234
708	5421	2225
709	5426	2216
710	5430	2207
711	5434	2198
712	5437	2188
713	5440	2179
714	5448	2171
715	5452	2162
716	5457	2154
717	5465	2146
718	5469	2137
719	5473	2128
720	5481	2120
721	5485	2112
722	5499	2107
723	5503	2097
724	5506	2088
725	5514	2081
726	5522	2073
727	5527	2065
728	5544	2061
729	5547	2051
730	5554	2043
731	5559	2035
732	5568	2028
733	5572	2019
734	5577	2010
735	5588	2004
736	5593	1996
737	5596	1986
738	5602	1978
739	5605	1969
740	5609	1960
741	5613	1951
742	5618	1943
743	5624	1935
744	5634	1928
745	5639	1920
746	5643	1911
747	5657	1905
748	5661	1897
749	5667	1889
750	5671	1880
751	5675	1871
752	5681	1863
753	5684	1854
754	5687	1845
755	5691	1837
756	5696	1828
757	5701	1820
758	5705	1811
759	5713	1804
760	5717	1795
761	5721	1787
762	5735	1781
763	5740	1773
764	5749	1766
765	5753	1757
766	5759	1749
767	5775	1744
768	5779	1736
769	5784	1727
770	5788	1719
771	5791	1710
772	5794	1701
773	5796	1692
774	5800	1683
775	5806	1676
776	5810	1667
777	5818	1660
778	5822	1651
779	5828	1643
780	5862	1643
781	5878	1638
782	5882	1630
783	5888	1622
784	5894	1614
785	5899	1606
786	5908	1598
787	5914	1591
788	5921	1583
789	5926	1575
790	5929	1566
791	5947	1561
792	5955	1554
793	5960	1546
794	5965	1538
795	5971	1530
796	5978	1522
797	5983	1514
798	5988	1506
799	6004	1501
800	6024	1496
801	6092	1504
802	6103	1497
803	6108	1489
804	6125	1483
805	6138	1477
806	6143	1469
807	6148	1460
808	6153	1452
809	6157	1444
810	6162	1436
811	6167	1428
812	6171	1419
813	6176	1411
814	6186	1404
815	6190	1395
816	6196	1388
817	6206	1380
818	6209	1372
819	6212	1363
820	6215	1355
821	6218	1346
822	6220	1337
823	6221	1328
824	6224	1320
825	6227	1311
826	6234	1304
827	6236	1295
828	6238	1286
829	6242	1278
830	6245	1270
831	6248	1261
832	6252	1253
833	6256	1245
834	6261	1237
835	6266	1229
836	6268	1220
837	6271	1212
838	6273	1203
839	6276	1195
840	6279	1187
841	6281	1178
842	6283	1170
843	6287	1162
844	6291	1154
845	6295	1146
846	6299	1137
847	6304	1130
848	6308	1122
849	6312	1113
850	6314	1105
851	6316	1097
852	6322	1089
853	6328	1082
854	6337	1074
855	6378	1072
856	6383	1065
857	6389	1057
858	6393	1049
859	6397	1041
860	6402	1033
861	6416	1027
862	6419	1019
863	6424	1011
864	6427	1003
865	6434	995
866	6440	988
867	6446	980
868	6451	972
869	6458	965
870	6460	956
871	6462	948
872	6464	940
873	6466	932
874	6468	924
875	6471	915
876	6472	907
877	6475	899
878	6478	891
879	6481	883
880	6495	877
881	6497	869
882	6500	861
883	6502	853
884	6508	845
885	6511	837
886	6514	829
887	6517	821
888	6519	813
889	6523	806
890	6526	798
891	6533	791
892	6537	783
893	6541	775
894	6544	767
895	6546	759
896	6548	751
897	6550	744
898	6553	736
899	6555	728
900	6559	720
901	6562	712
902	6564	705
903	6576	698
904	6581	690
905	6585	683
906	6611	677
907	6613	670
908	6616	662
909	6619	654
910	6623	647
911	6627	639
912	6633	632
913	6640	624
914	6643	617
915	6645	609
916	6647	601
917	6650	594
918	6652	586
919	6654	578
920	6656	570
921	6658	563
922	6660	555
923	6662	548
924	6664	540
925	6668	532
926	6670	525
927	6673	517
928	6688	511
929	6691	503
930	6694	496
931	6697	488
932	6701	481
933	6704	473
934	6709	466
935	6715	459
936	6719	451
937	6724	444
938	6729	437
939	6731	429
940	6734	422
941	6736	414
942	6740	407
943	6767	401
944	6773	394
945	6777	386
946	6783	379
947	6807	373
948	6815	366
949	6820	358
950	6824	351
951	6828	344
952	6833	337
953	6839	329
954	6841	322
955	6844	314
956	6846	307
957	6849	300
958	6852	292
959	6856	285
960	6860	278
961	6865	271
962	6869	263
963	6874	256
964	6877	249
965	6880	242
966	6892	235
967	6900	228
968	6903	220
969	6907	213
970	6913	206
971	6918	199
972	6923	192
973	6925	184
974	6928	177
975	6930	170
976	6933	163
977	6936	156
978	6938	148
979	6941	141
980	6951	134
981	6954	127
982	6957	120
983	6962	113
984	6968	106
985	6972	98
986	6974	91
987	6977	84
988	6983	77
989	7011	70
990	7017	63
991	7021	56
992	7024	49
993	7027	42
994	7040	35
995	7043	28
996	7051	21
997	7056	14
998	7061	7
999	7068	0
